shopId,shop_name,img_url,kaiben,paper_type,pack,ISBN,is_suit,book_name,publish_time,author,price,weight,paper_count,zhuangzhen,publisher
0,当当自营,http://img3m8.ddimg.cn/62/23/28973798-1_w_3.jpg,16开,胶版纸,平装-胶订,9787213096952,否,《想见你》写真书（2020年全网热议，口碑炸裂的影视剧正版写真书，随书附赠手札、剧照海报、明信片） 许光汉主演，豆瓣9.2。口碑炸裂的华语神剧正版写真书。只有你想见我的时候，我们的相遇才有意义。一见倾心式设计，加页不加价，数百张精美剧照，留驻剧中动人瞬间。珍藏“想见你”的怦然心动，献给剧迷的专属纪念,2020-06,三凤制作,97.40,,,,浙江人民出版社
0,当当自营,http://img3m3.ddimg.cn/27/32/25301853-1_w_6.jpg,16开,胶版纸,平装-胶订,9787534068874,否,片寄凉太写真集 Goodbye，white [日]片寄凉太 天闻角川出品 夏媛媛 浙江人民美术出版社,2018-08,片寄凉太,70.00,,,,浙江人民美术出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/35/3/1730219570-1_w_1.jpg,3开,胶版纸,平装,9787509218228,否,经济运行态势分析与思考 赵辰昕 著 中国市场出版社 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457,,赵辰昕,74.00,,,,中国市场出版社
23014,爱可圣图书专营店,http://img3m5.ddimg.cn/92/17/1622525645-1_w_1.jpg,16开,胶版纸,精装,9787539963365,否,神探夏洛克-BBC授权英剧《神探夏洛克》官方指南,2013-08,盖·亚当斯,49.80,,168,,江苏文艺出版社
0,当当自营,http://img3m9.ddimg.cn/26/17/27916739-1_w_3.jpg,32开,胶版纸,平装-胶订,9787559439857,否,任何天气都开心， 江苏凤凰文艺出版社【本店满129送精美套装图书定价198】【可开正规发 正版图书，欢迎选购,2019-08,李凯馨,32.90,,,,江苏凤凰文艺出版社
0,当当自营,http://img3m0.ddimg.cn/57/20/23739960-1_w_1.jpg,16开,胶版纸,精装,9787503464966,否,铁三角:盗墓笔记网络剧写真集 南派三叔  欢瑞世纪  漫工厂中国文史出版社,2015-09,漫工厂,42.40,,,,中国文史出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/7/16/1733114500-1_w_8.jpg,3开,胶版纸,平装,9787544813365,否,【正版现货包邮】小科学之友经典图画书 套装共12册 经典科学绘本2-3-4岁宝宝儿童图画书婴幼儿启蒙读物幼小衔接科学启 速发 库房现货数量有限,2020-06,安娜特·缇森,186.00,,,,接力出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/39/11/1742074230-1_w_2.jpg,3开,胶版纸,平装,9787512512184,否,大国大民——王志纲话说中国人 时隔八十多年，继林语堂《吾国与吾民》之后又一部写透中国国民性的力作。《吾国与吾民》让外国人读懂中国人，《大国大民》让中国人读懂中国人。,,不详,42.00,,,,国际文化出版公司
0,当当自营,http://img3m0.ddimg.cn/87/1/24022140-1_w_6.jpg,16开,胶版纸,精装,9787504377142,否,随峰成长 欢瑞世纪编 中国广播影视出版社,2016-10,欢瑞世纪,37.40,,,,中国广播影视出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/50/6/1744476080-1_w_1.jpg,3开,胶版纸,平装,9787559830043,否,写作是门手艺 为中国学生量身定做的论文写作课！跟卷毛教授一起，拔光心中之毛，守护头顶之毛！,,刘军强,45.00,,,,广西师范大学出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/87/12/1733074980-1_w_2.jpg,3开,胶版纸,平装-胶订,9787020159925,否,一切随缘（当当专享版本）（日本著名女演员树木希林放松、认真、简单、勇敢的人生感悟,2015-12,不详,32.20,,,,人民文学出版社
0,当当自营,http://img3m6.ddimg.cn/27/36/23966046-1_w_6.jpg,16开,纯质纸,平装,9787504375759,否,【新华书店】女不强大天不容 上海耀客传媒股份有限公司 中国广播影视出版社 ,2016-06,上海耀客传媒股份有限公司,28.60,,,,中国广播影视出版社
0,当当自营,http://img3m8.ddimg.cn/51/16/23410878-1_w_1.jpg,16开,胶版纸,精装,9787501245819,否,勇敢远行，在我们老去之前,2014-01,陈彦妃,47.90,,,,世界知识出版社
21520,阅九州图书专营店,http://img3m9.ddimg.cn/47/26/1295498009-1_w_1.jpg,16开,纯质纸,平装-胶订,9787538562255,否,娜写年华,2012-4-1,谢娜,58.00,,,平装,北方妇女儿童出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/73/17/1746329680-1_w_1.jpg,3开,胶版纸,平装,9787559323514,是,勇敢远行，在我们老去之前,,,28.00,,,,
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/27/33/1729732680-1_w_2.jpg,3开,胶版纸,平装,9787521712964,否,限时包邮 故宫人文版 这是紫禁城 有声讲读 3D立体书 手提袋送完即止 现货速发，保证正版。可放心购买。,,邓轩,239.90,,,,九州出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/55/13/1747212940-1_w_2.jpg,16开,胶版纸,平装,9787515342573,否,【正版直发】7个习惯教出学生( 第2版) (美)史蒂芬·柯维 9787515342573 中国青年出版社,,史蒂芬·柯维,25.40,,,,中国青年出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/12/15/1742999160-1_w_1.jpg,24开,胶版纸,软精装,9787511052490,是,婴幼儿超级认知力（0~4岁中英双语互动认知绘本，全4册。歪歪兔出品） 把握0~4岁基础认知关键期，认识颜色、形状、数字、字母、空间方位，丰富的互动机关，创意新奇，提升宝宝兴趣，激发想象力。赠4集精美动画片。,2020-07,歪歪兔关键期早教项目组,65.00,,,,海豚出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/1/33/1730685430-1_w_1.jpg,3开,胶版纸,平装,9787020137329,否,西游记（上下）原著（《语文》推荐阅读丛书 人民文学出版社） ,,不详,29.00,,,,人民文学出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/34/21/1730686750-1_w_1.jpg,3开,胶版纸,平装,9787559642332,否,摆脱不安：告别过度依赖（随机附赠精美书签组1份，限量300份） 哈佛大学心理学导师摆脱不安的实践分享。活出自我，从建立内心的安全感开始。当内心有足够的安全感，人们才能从容、自在地生活。做独立、完整、内心强大的自己。,,不详,23.80,,,,北京联合出版有限公司
21520,阅九州图书专营店,http://img3m9.ddimg.cn/82/16/1295521309-1_w_1.jpg,16开,纯质纸,平装-胶订,978-7-5447-6344-8,否,《太阳的后裔》写真集,2016-05,太阳的后裔文化事业专业公司,80,,,精装,译林出版社
21520,阅九州图书专营店,http://img3m9.ddimg.cn/29/23/1295506109-1_w_1.jpg,16开,纯质纸,平装-胶订,9787550285347,否,自在YOUNG,2016-09-01,杨洋,35.70,,,平装,北京联合
0,当当自营,http://img3m7.ddimg.cn/16/1/27951577-1_w_2.jpg,16开,胶版纸,平装-胶订,9787567023918,否,经典电影中的文化景观 中国海洋大学出版社威尔文化图书专 （A3）,2019-10,赵婷,35.50,,,,中国海洋大学出版社
22789,四季丰美图书专营店,http://img3m0.ddimg.cn/47/33/1719067430-1_w_1.jpg,16开,胶版纸,平装,9787550729384,否,涨停金钥匙 作者23年市场磨砺的精华提炼，以实盘操作理念为主导，大胆创新，能够给投资者带来正确的指引，使投资者获得较好的投资收益,2020-08-,安阳,53.00,,,,海天出版社出版时间:2020年08月
0,当当自营,http://img3m4.ddimg.cn/51/2/24022104-1_w_6.jpg,16开,胶版纸,精装,9787504377135,否,青云志集 欢瑞世纪编【正版现货 闪电发货】 ,2016-09,欢瑞世纪,37.40,,,,中国广播影视出版社
0,当当自营,http://img3m6.ddimg.cn/74/28/23349026-1_w_1.jpg,20开,胶版纸,平装,9787501245451,否,兰陵王影像书,2013-10,玉春雷娱乐文创,33.70,,,,世界知识出版社
0,当当自营,http://img3m4.ddimg.cn/64/30/23235364-1_w_3.jpg,16开,胶版纸,平装,9787894767714,否,朴有天 2013帅气写真海报特辑 本书编写组  电脑报电子音像出版社,,,18.00,,,,
